Index,Species,Type1,Type2,Ability1,Ability2,Ability3,level,base_experience,HP,Attack,Defence,Sp.Attack,Sp.Defence,Speed,Total,Weight,Height,Seed Type,Egg Type1,Egg Type2,Moves
69,Bellsprout,Grass,Poison,Chlorophyll,NULL,Gluttony,50,60,50,75,35,70,30,40,300,8.8 lbs.,"2'04""",Flower Pokémon,Grass,NULL,"swords-dance, cut, bind, slam, vine-whip, headbutt, wrap, take-down, double-edge, acid, mega-drain, growth, razor-leaf, solar-beam, poison-powder, stun-spore, sleep-powder, toxic, rage, mimic, double-team, reflect, bide, leech-life, flash, rest, substitute, thief, snore, curse, protect, sludge-bomb, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, encore, sweet-scent, synthesis, hidden-power, sunny-day, facade, nature-power, ingrain, knock-off, secret-power, weather-ball, tickle, bullet-seed, magical-leaf, natural-gift, wring-out, gastro-acid, worry-seed, sucker-punch, poison-jab, seed-bomb, energy-ball, leaf-storm, power-whip, captivate, grass-knot, venoshock, sludge-wave, acid-spray, round, clear-smog, belch, grassy-terrain, confide, infestation, strength-sap, lunge, grassy-glide, tera-blast, pounce, trailblaze"
70,Weepinbell,Grass,Poison,Chlorophyll,NULL,Gluttony,50,137,65,90,50,85,45,55,390,14.1 lbs.,"3'03""",Flycatcher Pokémon,Grass,NULL,"swords-dance, cut, bind, slam, vine-whip, headbutt, body-slam, wrap, take-down, double-edge, acid, mega-drain, growth, razor-leaf, solar-beam, poison-powder, stun-spore, sleep-powder, toxic, rage, mimic, double-team, reflect, bide, swift, leech-life, flash, rest, substitute, thief, snore, curse, protect, sludge-bomb, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, encore, sweet-scent, synthesis, hidden-power, sunny-day, facade, nature-power, ingrain, knock-off, secret-power, weather-ball, tickle, bullet-seed, magical-leaf, natural-gift, wring-out, gastro-acid, worry-seed, sucker-punch, poison-jab, seed-bomb, energy-ball, leaf-storm, power-whip, captivate, grass-knot, bug-bite, venoshock, sludge-wave, acid-spray, round, clear-smog, grassy-terrain, confide, infestation, strength-sap, lunge, grassy-glide, tera-blast, pounce, trailblaze"
71,Victreebel,Grass,Poison,Chlorophyll,NULL,Gluttony,50,221,80,105,65,100,70,70,490,34.2 lbs.,"5'07""",Flycatcher Pokémon,Grass,NULL,"swords-dance, cut, bind, slam, vine-whip, headbutt, body-slam, wrap, take-down, double-edge, acid, hyper-beam, mega-drain, growth, razor-leaf, solar-beam, poison-powder, stun-spore, sleep-powder, toxic, rage, mimic, double-team, reflect, bide, swift, leech-life, flash, rest, substitute, thief, snore, curse, protect, scary-face, sludge-bomb, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, encore, sweet-scent, synthesis, hidden-power, sunny-day, stockpile, spit-up, swallow, facade, nature-power, ingrain, knock-off, secret-power, weather-ball, tickle, bullet-seed, magical-leaf, leaf-blade, natural-gift, gastro-acid, worry-seed, sucker-punch, poison-jab, seed-bomb, energy-ball, giga-impact, leaf-storm, power-whip, captivate, grass-knot, bug-bite, venoshock, sludge-wave, acid-spray, round, clear-smog, leaf-tornado, grassy-terrain, confide, infestation, strength-sap, lunge, grassy-glide, tera-blast, pounce, trailblaze"
72,Tentacool,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,50,67,40,40,35,50,100,70,335,100.3 lbs.,"2'11""",Jellyfish Pokémon,Water 3,NULL,"swords-dance, cut, bind, headbutt, wrap, take-down, double-edge, poison-sting, supersonic, acid, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, aurora-beam, mega-drain, toxic, rage, mimic, screech, double-team, confuse-ray, barrier, haze, reflect, bide, waterfall, swift, skull-bash, constrict, bubble, acid-armor, rest, substitute, thief, snore, curse, protect, sludge-bomb, icy-wind, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, safeguard, rapid-spin, hidden-power, rain-dance, mirror-coat, whirlpool, hail, facade, magic-coat, knock-off, secret-power, dive, tickle, muddy-water, mud-shot, water-pulse, brine, natural-gift, acupressure, payback, wring-out, toxic-spikes, aqua-ring, poison-jab, cross-poison, gunk-shot, captivate, venoshock, sludge-wave, acid-spray, round, scald, hex, confide, dazzling-gleam, infestation, throat-chop, brutal-swing, liquidation, flip-turn, tera-blast, pounce, chilling-water"
73,Tentacruel,Water,Poison,Clear Body,Liquid Ooze,Rain Dish,50,180,80,70,65,80,120,100,515,121.3 lbs.,"5'03""",Jellyfish Pokémon,Water 3,NULL,"swords-dance, cut, bind, headbutt, wrap, take-down, double-edge, poison-sting, supersonic, acid, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, aurora-beam, hyper-beam, mega-drain, toxic, rage, mimic, screech, double-team, confuse-ray, barrier, haze, reflect, bide, waterfall, swift, skull-bash, constrict, bubble, acid-armor, rest, substitute, thief, snore, curse, protect, scary-face, sludge-bomb, icy-wind, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, safeguard, rapid-spin, hidden-power, rain-dance, mirror-coat, whirlpool, hail, facade, magic-coat, knock-off, secret-power, dive, weather-ball, tickle, muddy-water, mud-shot, water-pulse, brine, natural-gift, acupressure, payback, wring-out, toxic-spikes, aqua-ring, poison-jab, giga-impact, cross-poison, gunk-shot, captivate, venoshock, sludge-wave, acid-spray, round, scald, hex, reflect-type, confide, venom-drench, dazzling-gleam, infestation, throat-chop, brutal-swing, liquidation, skitter-smack, corrosive-gas, flip-turn, tera-blast, pounce, chilling-water"
74,Geodude,Rock,Ground,Rock Head,Sturdy,Sand Veil,50,60,40,80,100,30,30,20,300,44.1 lbs.,"1'04""",Rock Pokémon,Mineral,NULL,"mega-punch, fire-punch, thunder-punch, sand-attack, headbutt, tackle, body-slam, take-down, double-edge, flamethrower, submission, counter, seismic-toss, strength, rock-throw, earthquake, fissure, dig, toxic, rage, mimic, double-team, harden, defense-curl, bide, metronome, self-destruct, fire-blast, explosion, rest, rock-slide, substitute, snore, curse, flail, protect, scary-face, mud-slap, sandstorm, endure, rollout, swagger, attract, sleep-talk, return, frustration, magnitude, dynamic-punch, hidden-power, sunny-day, ancient-power, rock-smash, facade, focus-punch, nature-power, superpower, brick-break, secret-power, mud-sport, rock-tomb, iron-defense, block, mud-shot, rock-blast, hammer-arm, gyro-ball, natural-gift, fling, sucker-punch, rock-polish, earth-power, rock-climb, stone-edge, captivate, stealth-rock, wide-guard, autotomize, smack-down, round, incinerate, bulldoze, confide, power-up-punch, high-horsepower, stomping-tantrum, tera-blast"
75,Graveler,Rock,Ground,Rock Head,Sturdy,Sand Veil,50,137,55,95,115,45,45,35,390,231.5 lbs.,"3'03""",Rock Pokémon,Mineral,NULL,"mega-punch, fire-punch, thunder-punch, sand-attack, headbutt, tackle, body-slam, take-down, double-edge, flamethrower, submission, counter, seismic-toss, strength, rock-throw, earthquake, fissure, dig, toxic, rage, mimic, double-team, harden, defense-curl, bide, metronome, self-destruct, fire-blast, explosion, rest, rock-slide, substitute, snore, curse, flail, protect, scary-face, mud-slap, sandstorm, endure, rollout, swagger, attract, sleep-talk, return, frustration, magnitude, dynamic-punch, hidden-power, sunny-day, ancient-power, rock-smash, facade, focus-punch, nature-power, superpower, brick-break, secret-power, mud-sport, rock-tomb, iron-defense, block, mud-shot, rock-blast, hammer-arm, gyro-ball, natural-gift, fling, sucker-punch, rock-polish, focus-blast, earth-power, rock-climb, iron-head, stone-edge, captivate, stealth-rock, wide-guard, smack-down, heavy-slam, round, incinerate, bulldoze, confide, power-up-punch, high-horsepower, stomping-tantrum, body-press, tera-blast, hard-press"
76,Golem,Rock,Ground,Rock Head,Sturdy,Sand Veil,50,223,80,120,130,55,65,45,495,661.4 lbs.,"4'07""",Megaton Pokémon,Mineral,NULL,"mega-punch, fire-punch, thunder-punch, mega-kick, sand-attack, headbutt, tackle, body-slam, take-down, double-edge, roar, flamethrower, hyper-beam, submission, counter, seismic-toss, strength, rock-throw, earthquake, fissure, dig, toxic, rage, mimic, double-team, harden, defense-curl, bide, metronome, self-destruct, fire-blast, explosion, rest, rock-slide, substitute, snore, curse, flail, protect, scary-face, mud-slap, sandstorm, endure, rollout, swagger, fury-cutter, attract, sleep-talk, return, frustration, magnitude, dynamic-punch, hidden-power, sunny-day, ancient-power, rock-smash, facade, focus-punch, nature-power, superpower, brick-break, secret-power, mud-sport, rock-tomb, iron-defense, block, mud-shot, rock-blast, hammer-arm, gyro-ball, natural-gift, fling, sucker-punch, rock-polish, focus-blast, earth-power, giga-impact, rock-climb, iron-head, stone-edge, captivate, stealth-rock, wide-guard, smack-down, heavy-slam, round, incinerate, bulldoze, steamroller, confide, power-up-punch, high-horsepower, stomping-tantrum, body-press, tera-blast, hard-press"
77,Ponyta,Fire,NULL,Run Away,Flash Fire,Flame Body,50,82,50,85,55,65,65,90,410,66.1 lbs.,"3'03""",Fire Horse Pokémon,Field,NULL,"stomp, double-kick, headbutt, horn-drill, tackle, body-slam, take-down, thrash, double-edge, tail-whip, growl, ember, flamethrower, low-kick, strength, solar-beam, fire-spin, toxic, hypnosis, agility, quick-attack, rage, mimic, double-team, reflect, bide, fire-blast, swift, skull-bash, rest, substitute, flame-wheel, snore, curse, protect, endure, charm, swagger, attract, sleep-talk, return, frustration, iron-tail, morning-sun, hidden-power, sunny-day, heat-wave, will-o-wisp, facade, secret-power, overheat, bounce, natural-gift, flare-blitz, captivate, double-hit, flame-charge, round, echoed-voice, ally-switch, incinerate, inferno, wild-charge, play-rough, confide, mystical-fire, high-horsepower, solar-blade"
78,Rapidash,Fire,NULL,Run Away,Flash Fire,Flame Body,50,175,65,100,70,80,80,105,500,209.4 lbs.,"5'07""",Fire Horse Pokémon,Field,NULL,"pay-day, swords-dance, stomp, double-kick, headbutt, fury-attack, horn-drill, tackle, body-slam, take-down, double-edge, tail-whip, growl, ember, flamethrower, hyper-beam, low-kick, strength, solar-beam, fire-spin, toxic, hypnosis, agility, quick-attack, rage, mimic, double-team, reflect, bide, fire-blast, swift, skull-bash, rest, substitute, flame-wheel, snore, curse, protect, endure, charm, swagger, attract, sleep-talk, return, frustration, megahorn, baton-pass, iron-tail, hidden-power, sunny-day, heat-wave, will-o-wisp, facade, secret-power, overheat, bounce, natural-gift, flare-blitz, poison-jab, giga-impact, captivate, double-hit, flame-charge, round, echoed-voice, ally-switch, incinerate, inferno, wild-charge, drill-run, play-rough, confide, mystical-fire, high-horsepower, solar-blade, throat-chop, smart-strike, scorching-sands"
79,Slowpoke,Water,Psychic,Oblivious,Own Tempo,Regenerator,50,63,90,65,65,40,40,15,315,79.4 lbs.,"3'11""",Dopey Pokémon,Monster,Water 1,"pay-day, stomp, headbutt, tackle, body-slam, take-down, double-edge, growl, disable, flamethrower, water-gun, hydro-pump, surf, ice-beam, blizzard, psybeam, bubble-beam, strength, thunder-wave, earthquake, fissure, dig, toxic, confusion, psychic, rage, teleport, mimic, double-team, light-screen, reflect, bide, fire-blast, waterfall, swift, skull-bash, amnesia, dream-eater, flash, psywave, rest, tri-attack, substitute, nightmare, snore, curse, protect, belly-drum, mud-slap, zap-cannon, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, safeguard, iron-tail, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, future-sight, whirlpool, hail, facade, helping-hand, trick, magic-coat, recycle, yawn, skill-swap, imprison, secret-power, dive, mud-sport, slack-off, weather-ball, signal-beam, block, mud-shot, calm-mind, water-pulse, brine, natural-gift, me-first, aqua-tail, avalanche, zen-headbutt, trick-room, captivate, grass-knot, wonder-room, psyshock, telekinesis, foul-play, after-you, round, echoed-voice, stored-power, scald, heal-pulse, incinerate, bulldoze, belch, confide, psychic-terrain, liquidation, expanding-force, tera-blast, snowscape, chilling-water"
80,Slowbro,Water,Psychic,Oblivious,Own Tempo,Regenerator,50,172,95,75,110,100,80,30,490,173.1 lbs.,"5'03""",Hermit Crab Pokémon,Monster,Water 1,"mega-punch, pay-day, ice-punch, stomp, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, growl, disable, flamethrower, water-gun, hydro-pump, surf, ice-beam, blizzard, psybeam, bubble-beam, hyper-beam, submission, counter, seismic-toss, strength, thunder-wave, earthquake, fissure, dig, toxic, confusion, psychic, rage, teleport, mimic, double-team, withdraw, light-screen, reflect, bide, metronome, fire-blast, waterfall, swift, skull-bash, amnesia, dream-eater, flash, psywave, rest, tri-attack, substitute, nightmare, snore, curse, protect, mud-slap, zap-cannon, icy-wind, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, dynamic-punch, iron-tail, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, future-sight, rock-smash, whirlpool, hail, facade, focus-punch, helping-hand, trick, magic-coat, recycle, brick-break, yawn, skill-swap, imprison, secret-power, dive, slack-off, weather-ball, signal-beam, muddy-water, aerial-ace, iron-defense, block, mud-shot, calm-mind, water-pulse, brine, natural-gift, fling, aqua-tail, drain-punch, focus-blast, giga-impact, nasty-plot, avalanche, zen-headbutt, trick-room, captivate, grass-knot, wonder-room, psyshock, telekinesis, foul-play, after-you, round, echoed-voice, stored-power, scald, heal-pulse, incinerate, bulldoze, razor-shell, confide, psychic-terrain, liquidation, body-press, expanding-force, tera-blast, snowscape, chilling-water, psychic-noise"
81,Magnemite,Electric,Steel,Magnet Pull,Sturdy,Analytic,50,65,25,35,70,95,55,45,325,13.2 lbs.,"1'00""",Magnet Pokémon,Mineral,NULL,"headbutt, tackle, take-down, double-edge, supersonic, sonic-boom, thunder-shock, thunderbolt, thunder-wave, thunder, toxic, rage, teleport, mimic, screech, double-team, confuse-ray, light-screen, reflect, bide, swift, flash, explosion, rest, substitute, snore, curse, protect, zap-cannon, lock-on, sandstorm, endure, rollout, swagger, spark, sleep-talk, return, frustration, hidden-power, rain-dance, sunny-day, psych-up, facade, charge, helping-hand, magic-coat, recycle, secret-power, metal-sound, signal-beam, iron-defense, shock-wave, gravity, gyro-ball, natural-gift, magnet-rise, mirror-shot, flash-cannon, discharge, iron-head, magnet-bomb, charge-beam, heavy-slam, electro-ball, round, volt-switch, electroweb, wild-charge, confide, eerie-impulse, electric-terrain, steel-beam, rising-voltage, tera-blast"
82,Magneton,Electric,Steel,Magnet Pull,Sturdy,Analytic,50,163,50,60,95,120,70,70,465,132.3 lbs.,"3'03""",Magnet Pokémon,Mineral,NULL,"headbutt, tackle, take-down, double-edge, supersonic, sonic-boom, hyper-beam, thunder-shock, thunderbolt, thunder-wave, thunder, toxic, rage, teleport, mimic, screech, double-team, confuse-ray, light-screen, reflect, bide, swift, flash, explosion, rest, tri-attack, substitute, snore, curse, protect, zap-cannon, lock-on, sandstorm, endure, rollout, swagger, spark, sleep-talk, return, frustration, hidden-power, rain-dance, sunny-day, psych-up, facade, charge, helping-hand, magic-coat, recycle, secret-power, metal-sound, signal-beam, iron-defense, shock-wave, gravity, gyro-ball, natural-gift, magnet-rise, giga-impact, mirror-shot, flash-cannon, discharge, iron-head, magnet-bomb, charge-beam, heavy-slam, electro-ball, round, volt-switch, electroweb, wild-charge, confide, eerie-impulse, electric-terrain, steel-beam, rising-voltage, tera-blast"
84,Doduo,Normal,Flying,Run Away,Early Bird,Tangled Feet,50,62,35,85,45,35,35,75,310,86.4 lbs.,"4'07""",Twin Bird Pokémon,Flying,NULL,"swords-dance, wing-attack, whirlwind, fly, jump-kick, headbutt, fury-attack, body-slam, take-down, thrash, double-edge, leer, growl, supersonic, peck, drill-peck, low-kick, toxic, agility, quick-attack, rage, mimic, double-team, haze, reflect, bide, mirror-move, swift, skull-bash, sky-attack, rest, tri-attack, substitute, thief, snore, curse, flail, protect, feint-attack, mud-slap, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, baton-pass, pursuit, hidden-power, rain-dance, sunny-day, uproar, facade, helping-hand, knock-off, endeavor, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, acupressure, assurance, brave-bird, captivate, double-hit, round, echoed-voice, acrobatics, work-up, confide, throat-chop, lunge, tera-blast"
85,Dodrio,Normal,Flying,Run Away,Early Bird,Tangled Feet,50,165,60,110,70,60,60,100,460,187.8 lbs.,"5'11""",Triple Bird Pokémon,Flying,NULL,"swords-dance, wing-attack, whirlwind, fly, jump-kick, headbutt, fury-attack, body-slam, take-down, thrash, double-edge, leer, growl, supersonic, hyper-beam, peck, drill-peck, low-kick, toxic, agility, quick-attack, rage, mimic, double-team, reflect, bide, mirror-move, swift, skull-bash, sky-attack, rest, tri-attack, substitute, thief, snore, curse, flail, protect, scary-face, mud-slap, endure, swagger, steel-wing, attract, sleep-talk, return, frustration, baton-pass, pursuit, hidden-power, rain-dance, sunny-day, uproar, torment, facade, taunt, helping-hand, knock-off, endeavor, secret-power, feather-dance, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, acupressure, payback, assurance, brave-bird, giga-impact, captivate, double-hit, round, echoed-voice, acrobatics, work-up, drill-run, confide, throat-chop, lunge, stomping-tantrum, tera-blast, pounce, trailblaze"
86,Seel,Water,NULL,Thick Fat,Hydration,Ice Body,50,65,65,45,55,45,70,45,325,198.4 lbs.,"3'07""",Sea Lion Pokémon,Water 1,Field,"pay-day, slam, headbutt, horn-drill, body-slam, take-down, double-edge, growl, disable, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, aurora-beam, peck, strength, toxic, rage, mimic, double-team, haze, bide, lick, waterfall, skull-bash, rest, substitute, thief, snore, curse, protect, perish-song, icy-wind, endure, charm, swagger, attract, sleep-talk, return, frustration, safeguard, megahorn, encore, iron-tail, hidden-power, rain-dance, whirlpool, fake-out, uproar, stockpile, spit-up, swallow, hail, facade, helping-hand, secret-power, dive, weather-ball, signal-beam, muddy-water, icicle-spear, water-sport, water-pulse, brine, natural-gift, fling, aqua-ring, aqua-tail, avalanche, ice-shard, captivate, aqua-jet, entrainment, round, echoed-voice, drill-run, belch, confide, smart-strike, flip-turn, triple-axel, tera-blast, ice-spinner, snowscape, chilling-water"
87,Dewgong,Water,Ice,Thick Fat,Hydration,Ice Body,50,166,90,70,80,70,95,70,475,264.6 lbs.,"5'07""",Sea Lion Pokémon,Water 1,Field,"pay-day, headbutt, horn-drill, body-slam, take-down, double-edge, growl, disable, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, aurora-beam, hyper-beam, strength, toxic, rage, mimic, double-team, haze, bide, lick, waterfall, skull-bash, rest, substitute, thief, snore, curse, protect, perish-song, icy-wind, endure, charm, swagger, attract, sleep-talk, return, frustration, safeguard, megahorn, encore, iron-tail, hidden-power, rain-dance, whirlpool, fake-out, uproar, stockpile, spit-up, swallow, hail, facade, helping-hand, knock-off, endeavor, secret-power, dive, weather-ball, signal-beam, sheer-cold, muddy-water, icicle-spear, water-pulse, brine, natural-gift, fling, aqua-ring, aqua-tail, giga-impact, avalanche, ice-shard, captivate, aqua-jet, entrainment, round, echoed-voice, frost-breath, drill-run, belch, play-rough, confide, smart-strike, liquidation, flip-turn, triple-axel, tera-blast, ice-spinner, snowscape, chilling-water, alluring-voice"
88,Grimer,Poison,NULL,Stench,Sticky Hold,Poison Touch,50,65,80,80,50,40,50,25,325,66.1 lbs.,"2'11""",Sludge Pokémon,Amorphous,NULL,"pound, fire-punch, ice-punch, thunder-punch, headbutt, body-slam, take-down, disable, flamethrower, strength, mega-drain, thunderbolt, thunder, dig, toxic, rage, mimic, screech, double-team, harden, minimize, confuse-ray, haze, bide, metronome, self-destruct, lick, smog, sludge, fire-blast, poison-gas, acid-armor, explosion, rest, rock-slide, substitute, thief, snore, curse, protect, scary-face, sludge-bomb, mud-slap, zap-cannon, sandstorm, giga-drain, endure, swagger, mean-look, attract, sleep-talk, return, frustration, pain-split, dynamic-punch, hidden-power, rain-dance, sunny-day, shadow-ball, stockpile, spit-up, swallow, torment, memento, facade, taunt, helping-hand, imprison, secret-power, rock-tomb, shadow-punch, mud-shot, shock-wave, natural-gift, payback, fling, poison-jab, drain-punch, shadow-sneak, mud-bomb, zen-headbutt, gunk-shot, captivate, venoshock, sludge-wave, acid-spray, round, hex, incinerate, belch, confide, infestation, power-up-punch, tera-blast"
89,Muk,Poison,NULL,Stench,Sticky Hold,Poison Touch,50,175,105,105,75,65,100,50,500,66.1 lbs.,"3'11""",Sludge Pokémon,Amorphous,NULL,"pound, fire-punch, ice-punch, thunder-punch, headbutt, body-slam, take-down, disable, flamethrower, hyper-beam, strength, mega-drain, thunderbolt, thunder, dig, toxic, rage, mimic, screech, double-team, harden, minimize, confuse-ray, haze, bide, metronome, self-destruct, smog, sludge, fire-blast, swift, poison-gas, acid-armor, explosion, rest, rock-slide, substitute, thief, snore, curse, spite, protect, scary-face, sludge-bomb, mud-slap, zap-cannon, sandstorm, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, pain-split, dynamic-punch, hidden-power, rain-dance, sunny-day, shadow-ball, rock-smash, torment, memento, facade, focus-punch, taunt, helping-hand, brick-break, knock-off, imprison, secret-power, rock-tomb, block, mud-shot, shock-wave, natural-gift, payback, fling, toxic-spikes, poison-jab, dark-pulse, drain-punch, focus-blast, giga-impact, mud-bomb, zen-headbutt, gunk-shot, captivate, venoshock, sludge-wave, acid-spray, round, hex, incinerate, belch, moonblast, confide, venom-drench, infestation, power-up-punch, lunge, lash-out, tera-blast"
90,Shellder,Water,NULL,Shell Armor,Skill Link,Overcoat,50,61,30,65,100,45,25,40,305,8.8 lbs.,"1'00""",Bivalve Pokémon,Water 3,NULL,"headbutt, tackle, take-down, double-edge, twineedle, leer, supersonic, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, aurora-beam, toxic, rage, teleport, mimic, screech, double-team, withdraw, barrier, reflect, bide, self-destruct, waterfall, clamp, swift, explosion, rest, tri-attack, substitute, snore, curse, protect, spikes, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, rapid-spin, hidden-power, rain-dance, whirlpool, hail, facade, helping-hand, secret-power, dive, icicle-spear, iron-defense, mud-shot, rock-blast, water-pulse, brine, natural-gift, payback, toxic-spikes, aqua-ring, avalanche, ice-shard, captivate, round, shell-smash, razor-shell, confide, liquidation, life-dew, tera-blast, ice-spinner, snowscape, chilling-water"
91,Cloyster,Water,Ice,Shell Armor,Skill Link,Overcoat,50,184,50,95,180,85,45,70,525,292.1 lbs.,"4'11""",Bivalve Pokémon,Water 3,NULL,"headbutt, tackle, body-slam, take-down, double-edge, twineedle, pin-missile, leer, supersonic, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, aurora-beam, hyper-beam, toxic, rage, teleport, mimic, screech, double-team, withdraw, barrier, light-screen, reflect, bide, self-destruct, waterfall, clamp, swift, spike-cannon, explosion, rest, tri-attack, substitute, snore, curse, protect, scary-face, spikes, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, hidden-power, rain-dance, whirlpool, hail, torment, facade, helping-hand, secret-power, dive, weather-ball, signal-beam, icicle-spear, iron-defense, mud-shot, rock-blast, water-pulse, brine, natural-gift, payback, toxic-spikes, poison-jab, giga-impact, avalanche, ice-shard, captivate, round, shell-smash, frost-breath, drill-run, razor-shell, icicle-crash, confide, smart-strike, liquidation, steel-roller, tera-blast, ice-spinner, snowscape, chilling-water"
92,Gastly,Ghost,Poison,Levitate,NULL,NULL,50,62,30,35,30,100,35,80,310,0.2 lbs.,"4'03""",Gas Pokémon,Amorphous,NULL,"fire-punch, ice-punch, thunder-punch, headbutt, disable, mega-drain, thunderbolt, thunder, toxic, psychic, hypnosis, rage, night-shade, mimic, double-team, confuse-ray, haze, bide, self-destruct, lick, smog, dream-eater, poison-gas, psywave, explosion, rest, substitute, thief, nightmare, snore, curse, spite, protect, scary-face, sludge-bomb, zap-cannon, destiny-bond, perish-song, icy-wind, giga-drain, endure, swagger, mean-look, attract, sleep-talk, return, frustration, pain-split, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, uproar, torment, will-o-wisp, facade, taunt, trick, knock-off, skill-swap, imprison, grudge, snatch, secret-power, astonish, natural-gift, payback, embargo, sucker-punch, poison-jab, dark-pulse, energy-ball, nasty-plot, trick-room, gunk-shot, captivate, ominous-wind, wonder-room, venoshock, telekinesis, sludge-wave, acid-spray, foul-play, round, clear-smog, ally-switch, hex, reflect-type, confide, dazzling-gleam, infestation, skitter-smack, poltergeist, corrosive-gas, tera-blast"
93,Haunter,Ghost,Poison,Levitate,NULL,NULL,50,142,45,50,45,115,55,95,405,0.2 lbs.,"5'03""",Gas Pokémon,Amorphous,NULL,"fire-punch, ice-punch, thunder-punch, headbutt, mega-drain, thunderbolt, thunder, toxic, psychic, hypnosis, rage, night-shade, mimic, double-team, confuse-ray, haze, bide, metronome, self-destruct, lick, smog, dream-eater, poison-gas, psywave, explosion, rest, substitute, thief, nightmare, snore, curse, spite, protect, scary-face, sludge-bomb, zap-cannon, destiny-bond, icy-wind, giga-drain, endure, swagger, mean-look, attract, sleep-talk, return, frustration, pain-split, encore, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, uproar, torment, will-o-wisp, facade, taunt, trick, knock-off, skill-swap, imprison, snatch, secret-power, astonish, shadow-punch, natural-gift, payback, embargo, fling, sucker-punch, toxic-spikes, poison-jab, dark-pulse, focus-blast, energy-ball, nasty-plot, shadow-claw, trick-room, gunk-shot, captivate, ominous-wind, wonder-room, venoshock, telekinesis, sludge-wave, acid-spray, foul-play, round, ally-switch, hex, phantom-force, confide, dazzling-gleam, infestation, skitter-smack, poltergeist, corrosive-gas, tera-blast"
94,Gengar,Ghost,Poison,Cursed Body,Cursed Body,Cursed Body,50,250,60,65,60,130,75,110,500,89.3 lbs.,"4'11""",Shadow Pokémon,Amorphous,NULL,"mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick, headbutt, body-slam, take-down, double-edge, disable, hyper-beam, submission, counter, seismic-toss, strength, mega-drain, thunderbolt, thunder-wave, thunder, toxic, psychic, hypnosis, rage, night-shade, mimic, double-team, confuse-ray, haze, bide, metronome, self-destruct, lick, smog, skull-bash, dream-eater, poison-gas, psywave, explosion, rest, substitute, thief, nightmare, snore, curse, spite, protect, scary-face, sludge-bomb, zap-cannon, destiny-bond, perish-song, icy-wind, giga-drain, endure, swagger, mean-look, attract, sleep-talk, return, frustration, pain-split, dynamic-punch, encore, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, rock-smash, uproar, torment, will-o-wisp, facade, focus-punch, taunt, trick, role-play, brick-break, knock-off, skill-swap, imprison, snatch, secret-power, astonish, shadow-punch, natural-gift, payback, embargo, fling, sucker-punch, toxic-spikes, poison-jab, dark-pulse, drain-punch, focus-blast, energy-ball, giga-impact, nasty-plot, shadow-claw, trick-room, gunk-shot, captivate, ominous-wind, wonder-room, venoshock, telekinesis, sludge-wave, acid-spray, foul-play, round, ally-switch, hex, reflect-type, phantom-force, confide, dazzling-gleam, infestation, power-up-punch, laser-focus, skitter-smack, poltergeist, corrosive-gas, tera-blast, psychic-noise"
